User Input,Chatbot Response,Timestamp
psg,"When planning to build a house, consider your budget, location, size, style, and future needs.",2025-06-17 18:21:22
who is the hod of dcn,"Common roofing materials include asphalt shingles, metal, tile, and slate.",2025-06-17 18:21:58
who is the hod of department of computer networking,Dr Brindha Subbiah serves as the Head of the Department of Computer Networking. She has been associated with PSG Polytechnic College since 2000 and completed her PhD at PSG College of Technology in 2015,2025-06-17 18:22:41
hello,Hi there,2025-06-17 19:00:05
who is the principle of psg polytechnic college,"Dr B Giriraj Balasubramaniyam has been serving as the Principal of PSG Polytechnic College since 2014. He holds a Ph.D. from Anna University, Chennai, awarded in 2008, and has been associated with the Department of Mechanical Engineering at PSG Polytechnic College since 1997. Under his leadership, the college has continued its tradition of excellence in technical education",2025-06-17 19:02:07
tell me more about giriraj,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2025-06-17 19:03:13
hi,I need a bit more context to help you properly. What specifically about PSG interests you?,2025-06-17 19:11:35
hi,Could you please provide more details about what you'd like to know about PSG?,2025-06-17 19:11:43
hello,That's quite brief! Could you elaborate on what you want to know about PSG?,2025-06-17 19:11:48
hi,Hello! 😊 Great to see you! What would you like to know about PSG?,2025-06-17 19:15:03
What are the hostel facilities at PSG College of Technology,"PSG College of Technology offers separate hostel facilities for both male and female students. The hostels are equipped with modern amenities such as Wi-Fi, common rooms, and mess facilities.",2025-06-17 19:15:49
who is the principle of psg polytechnic college,"Dr B Giriraj Balasubramaniyam has been serving as the Principal of PSG Polytechnic College since 2014. He holds a Ph.D. from Anna University, Chennai, awarded in 2008, and has been associated with the Department of Mechanical Engineering at PSG Polytechnic College since 1997. Under his leadership, the college has continued its tradition of excellence in technical education",2025-06-17 19:16:26
bye,Goodbye! 👋 Thanks for chatting with me about PSG! Come back anytime!,2025-06-17 19:16:49
hi,Hello! 😊 Great to see you! Check out these PSG topics:,2025-06-17 19:23:52
What are PSG's main achievements?,I'm not confident enough to answer that PSG question accurately. I prefer to give correct information rather than guess. What would you like to know about PSG's history or current team?,2025-06-17 19:24:04
hi,Hi! 🎉 Welcome! Here are some things you can ask me about PSG:,2025-06-17 19:27:36
What courses are offered at PSG College of Technology?,"PSG College of Technology offers undergraduate, postgraduate, and research programs in fields such as Engineering, Computer Science, Electrical, Civil, Mechanical, Management, and Applied Sciences.",2025-06-17 19:27:50
hi,Hello! 😊 Great to see you! Check out these PSG topics:,2025-06-17 19:28:04
What is the admission process for PSG College of Technology?,"The house building process involves several stages: design, permits, site preparation, foundation, framing, plumbing, electrical, insulation, drywall, and finishing.",2025-06-17 19:28:07
hi,Hi! 🎉 Welcome! Here are some things you can ask me about PSG:,2025-06-17 19:28:21
Are there any scholarships available at PSG College of Technology?,"Yes, PSG College of Technology offers various scholarships based on academic performance, financial need, and other criteria. Scholarships are available for both undergraduate and postgraduate students.",2025-06-17 19:28:30
hi,Hi! 🎉 Welcome! Here are some things you can ask me about PSG:,2025-06-17 19:29:51
What is the fee structure for undergraduate courses at PSG College of Technology?,"The fee structure for undergraduate courses at PSG College of Technology varies depending on the course and category of admission. For detailed fee information, it is recommended to refer to the official college website.",2025-06-17 19:30:11
hi,Hi there! 👋 Welcome to PSG Chatbot! Here are some popular PSG topics you can ask about:,2025-06-17 21:47:45
What courses are offered at PSG College of Technology?,"PSG College of Technology offers undergraduate, postgraduate, and research programs in fields such as Engineering, Computer Science, Electrical, Civil, Mechanical, Management, and Applied Sciences.",2025-06-17 21:49:16
hi,Hello! 😊 Great to see you! Check out these PSG topics:,2025-06-17 21:49:25
Are there any scholarships available at PSG College of Technology?,"Yes, PSG College of Technology offers various scholarships based on academic performance, financial need, and other criteria. Scholarships are available for both undergraduate and postgraduate students.",2025-06-17 21:49:42
hello,Hi there! 😊 Great to see you! Check out these PSG topics:,2025-06-17 21:50:14
How do I apply for a course at PSG College of Technology?,"You typically need a building permit, zoning permit, and possibly environmental permits, depending on your location.",2025-06-17 21:50:23
bye,Take care! 🎉 Hope you learned something new about PSG today!,2025-06-17 21:50:29
hi there,Hey! 🎉 Welcome! Here are some things you can ask me about PSG:,2025-06-17 22:03:35
hi,Hi! 🎉 Welcome! Here are some things you can ask me about PSG:,2025-06-18 02:22:36
What are the placement statistics for PSG College of Technology?,PSG College of Technology has an excellent placement record with over 90% of students placed in top companies. The college has a dedicated placement cell that organizes interviews and training programs for students.,2025-06-18 02:23:49
psg,That's quite brief! Could you elaborate on what you want to know about PSG?,2025-06-18 02:24:25
what is krishna,That's a great PSG question that I'm not ready to answer yet. I'm constantly learning and improving my knowledge about PSG and related topics!,2025-06-18 02:24:41
what is the eqation,I'm not confident enough to answer that PSG question accurately. I prefer to give correct information rather than guess. What would you like to know about PSG's history or current team?,2025-06-18 02:25:45
what is equation,An equation is a mathematical statement that shows the equality of two expressions by using the '=' sign.,2025-06-18 02:26:02
hi,Hi there! 👋 Welcome to PSG Chatbot! Here are some popular PSG topics you can ask about:,2025-06-18 02:29:05
What are the hostel facilities at PSG College of Technology?,"PSG College of Technology offers separate hostel facilities for both male and female students. The hostels are equipped with modern amenities such as Wi-Fi, common rooms, and mess facilities.",2025-06-18 02:29:13
hi,Hi there! 👋 Welcome to PSG Chatbot! Here are some popular PSG topics you can ask about:,2025-06-22 22:35:00
